alpha,eta,omega,m,epsilon,q,sigma0,R,Kappa,phi,r0,K,lambda_A,Omega0,segment_mode,Xi,logG,lhs,stable_direct,stable_criterion,near_boundary,criterion_margin,integral_gamma,damping_sum,log_mirror
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,0.944444444444,uniform,204.51566134772963,161.9062183605298,2.5600000000000005,False,False,False,-201.95566134772963,168.79300976191462,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,1.15555555556,uniform,252.89915900631027,209.19130953042418,0.0,False,False,False,-252.89915900631027,209.19141953547452,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,1.15555555556,uniform,252.89915900631027,202.3046281340897,2.5600000000000005,False,False,False,-250.33915900631027,209.19141953547452,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,1.15555555556,uniform,252.89915900743065,209.19130953135968,0.0,False,False,False,-252.89915900743065,209.19141953641002,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,1.15555555556,uniform,252.89915900743065,202.3046281350252,2.5600000000000005,False,False,False,-250.33915900743065,209.19141953641002,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,1.36666666667,uniform,301.2826566660113,249.58971930491956,0.0,False,False,False,-301.2826566660113,249.5898293099699,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,1.36666666667,uniform,301.2826566660113,242.7030379085851,2.5600000000000005,False,False,False,-298.7226566660113,249.5898293099699,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,1.36666666667,uniform,301.2826566657567,249.58971930470696,0.0,False,False,False,-301.2826566657567,249.5898293097573,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,1.36666666667,uniform,301.2826566657567,242.7030379083725,2.5600000000000005,False,False,False,-298.7226566657567,249.5898293097573,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,1.57777777778,uniform,349.6661543243373,289.98812907826687,0.0,False,False,False,-349.6661543243373,289.9882390833172,0.0,-0.00011000505033366343
